qcID,batchID,cuppingScore,tastingNotes,defectNotes
QC0099,RB0099,85.0,"High-toned, brightly sweet. Honeysuckle, spearmint, pomegranate, cedar, baker’s chocolate in aroma and cup. Sweetly tart structure with buoyant acidity; delicate, silky mouthfeel. Sweet notes of honeysuckle characterize the short finish, while choco…",cat1=1; cat2=1; quakers=1
QC0100,RB0100,85.0,"Lush, deeply and richly sweet. Ginger blossom, pineapple, myrrh, maple syrup, orange marmalade in aroma and cup. Richly sweet-tart in structure with vibrant acidity; satiny mouthfeel. The long finish morphs from notes of tropical flowers in the long…",cat1=0; cat2=3; quakers=0
QC0101,RB0101,85.0,"High-toned, richly sweet. Nectarine, apple blossom, redwood, dark chocolate, grapefruit zest in aroma and cup. Sweetly tart structure with bright, lively acidity; crisp, velvety-smooth mouthfeel. The finish is saturated with notes of stone fruit and…",cat1=0; cat2=7; quakers=5
QC0102,RB0102,85.0,"Fruit-driven, intensely sweet. Bergamot, mango, sandalwood, baker’s chocolate, citrus blossom in aroma and cup. Richly sweet structure with rounded acidity; plush, syrupy mouthfeel. The finish sustains the fruit-forward momentum of the cup, backed b…",cat1=0; cat2=5; quakers=0
QC0103,RB0103,85.0,"Delicate but deeply and quietly intense. Cocoa, peach, fresh-cut fir, brown sugar, a hint of lush, lily-like flowers in aroma and cup. Balanced, crisply sweet in structure; light-footed and lively in mouthfeel. Cocoa dominates in a resonant, flavor-…",cat1=0; cat2=3; quakers=0
QC0104,RB0104,85.0,"Big, round, deeply resonant, layered. Fresh-cut cedar, baker’s chocolate, autumn squash, a hint of thyme in aroma and cup. Sweet-savory, low-toned in structure; full, syrupy in mouthfeel. In the finish most flavor details fade, but a powerful, choco…",cat1=0; cat2=0; quakers=0
QC0105,RB0105,85.0,"Roundly and sweetly citrusy. Ripe tangerine, caramel, freesia-like flowers, cedar, a hint perhaps of fresh parsley-like herb in aroma and cup. Sweetly and gently tart, pure and juicy in structure. Very smooth, fullish, satiny mouthfeel. Flavor conso…",cat1=0; cat2=1; quakers=0
QC0106,RB0106,85.0,"Lush, vibrant; intricate and balanced. Fine musk, dried jasmine, passionfruit, bergamot, dark chocolate in aroma and cup. Complex, richly sweet structure with bright acidity. Buoyant, silky mouthfeel. The resonant finish fulfills the promise of the…",cat1=0; cat2=1; quakers=0
QC0107,RB0107,84.92,"Crisp, richly and sweetly tart. Candied apple, magnolia, cashew butter, sassafras, pomegranate in aroma and cup. Sweet-tart in structure with juicy acidity; velvety-smooth mouthfeel. The richly drying, subtle finish centers around notes of nut butte…",cat1=1; cat2=2; quakers=6
QC0108,RB0108,84.92,"Delicate, crisply sweet-savory, roast-rounded. Dark chocolate, orange blossom, almond, sandalwood, tamari in aroma and cup. Savory sweet in structure with gentle acidity; crisp, satiny mouthfeel. The finish is rich with notes of dark chocolate and a…",cat1=0; cat2=1; quakers=0
QC0109,RB0109,84.92,"Deeply sweet, richly wood-framed. Watermelon candy, sandalwood, narcissus-like flowers, toasted pecan, maple syrup in aroma and cup. Bittersweet structure; crisp, satiny mouthfeel. Aromatic wood leads in the short finish, while notes of watermelon c…",cat1=0; cat2=0; quakers=0
QC0110,RB0110,84.92,"Evaluated as espresso. Crisp, richly sweet. Dark chocolate, lily, caramelized walnut, grapefruit zest, fresh-cut fir in aroma and small cup. Lightly syrupy body; richly drying, citrus-toned finish. Chocolaty and floral-toned in three parts milk.",cat1=0; cat2=2; quakers=0
QC0111,RB0111,84.92,"Evaluated as espresso. Richly floral, chocolate-toned, sweetly tart. Wisteria, dark chocolate, tangerine zest, molasses, dried apricot in aroma and small cup. Viscous, lightly syrupy mouthfeel; crisp, cocoa-toned finish. Very floral in cappuccino-sc…",cat1=0; cat2=3; quakers=0
QC0112,RB0112,84.92,"Deeply and richly sweet. Strawberry, peach, sandalwood, almond butter, chrysanthemum in aroma and cup. Sweetly tart structure; crisp, satiny mouthfeel. The quiet finish consolidates around notes of almond and sandalwood.",cat1=0; cat2=0; quakers=0
QC0113,RB0113,84.92,"Pungent and earthy with a quietly persuasive sweetness. Fresh clay, grapefruit zest, baker’s chocolate, vanilla bean, ripe pear in aroma and cup. Sweet/savory in structure; light but plush mouthfeel. Clay, grapefruit and vanilla carry into an impres…",cat1=0; cat2=2; quakers=0
QC0114,RB0114,84.92,"Intricately layered, deeply and sweetly pungent. Roasted cacao nib, lemon zest, lilac, candied ginger, frankincense in aroma and cup. Sweet-tart structure with bright, juicy acidity; full, syrupy mouthfeel. The complex finish sustains all of the fla…",cat1=0; cat2=2; quakers=0
QC0115,RB0115,84.92,"Richly sweet, spice-toned. Dried cherry, lemon zest, baker’s chocolate, cashew, a hint of cayenne in aroma and cup. Delicate, sweetly tart structure with bright acidity; crisp, velvety mouthfeel. The flavor-saturated finish centers on citrus notes a…",cat1=1; cat2=9; quakers=0
QC0116,RB0116,84.83,"Sweetly pungent, high-toned. Dried apple, orange blossom, toffee, cedar, dark chocolate in aroma and cup. Sweetly tart structure, with juicy acidity; buoyant, silky mouthfeel. The finish is deeply sweet and resonant, with notes of orange blossom and…",cat1=0; cat2=0; quakers=0
QC0117,RB0117,84.83,"Deeply rich, sweetly tart. Baker’s chocolate, grapefruit zest, molasses, tea rose, marjoram in aroma and cup. Balanced, sweet-savory in structure; plump, velvety mouthfeel. The finish is crisp and dry, but also richly sweet, with notes of chocolate…",cat1=0; cat2=1; quakers=0
QC0118,RB0118,84.83,"Juicy, crisp yet lush, original. Jasmine, baker’s chocolate, sandalwood, tangerine zest, dried mango in aroma and cup. Layered and lyric in structure: softly bright, crisply pungent. Light yet lively in mouthfeel. The finish consolidates around the…",cat1=3; cat2=15; quakers=0
QC0119,RB0119,84.83,"Deeply, refreshingly pungent and earthy. Grapefruit zest, dark chocolate, candied ginger, graham cracker, moist fresh-fallen leaves in aroma and cup. Structured around complexly layered tart, sweet and savory tastes; plush, syrupy mouthfeel. Sweet,…",cat1=0; cat2=2; quakers=0
QC0120,RB0120,84.83,"Balanced and bright with a savory, root-vegetable depth. Lemon verbena, ripe orange zest, roasted cacao nib, rhododendron, a hint of brothy cooked root vegetables in aroma and cup. Structure is quietly sweet/tart with a savory edge; the mouthfeel ro…",cat1=0; cat2=4; quakers=0
QC0121,RB0121,84.75,"Richly sweet, delicately savory. Lilac, chocolate fudge, pomegranate, frankincense, honey in aroma and cup. Balanced, sweetly savory structure with bright, juicy acidity; buoyant, syrupy mouthfeel. The flavor-saturated finish is resonant with notes…",cat1=0; cat2=0; quakers=0
QC0122,RB0122,84.75,"Crisp, delicate, yet intense and original. Lush, rose-like flowers, dark chocolate, cedar, almond, ripe pineapple in aroma and cup. Balanced and complete in structure, poised at a round, satisfying intersection of sweet, tart and bitter. Light but s…",cat1=0; cat2=0; quakers=0
QC0123,RB0123,84.75,"Bright, richly sweet. Lime blossom, raspberry jam, sandalwood, roasted cacao nib, maple syrup in aroma and cup. Sweetly tart in structure with juicy acidity; viscous, buoyant mouthfeel. The finish leads with citrus and berry notes in the short, segu…",cat1=0; cat2=4; quakers=0
QC0124,RB0124,84.75,"Richly sweet, fruit-toned. Raspberry jam, almond butter, rhododendron-like flowers, grappa, cocoa powder in aroma and cup. Sweet-tart structure with fruit-forward acidity; plush, syrupy mouthfeel. The finish consolidates around deep raspberry and co…",cat1=0; cat2=3; quakers=0
QC0125,RB0125,84.75,"Delicate, intricately sweet. Dried mango, roasted cacao nib, honeysuckle, freesia-like flowers, a hint of cumin in aroma and cup. Deeply rich, balanced structure; crisp, satiny mouthfeel. The finish is animated by lively mango and freesia notes in t…",cat1=0; cat2=2; quakers=0
QC0126,RB0126,84.67,"Richly sweet, spice-toned. Black currant, molasses, amber oil, allspice, wisteria-like flowers in aroma and cup. Deeply sweet structure; smooth, rounded acidity. The finish displays an unusual sweetly musky quality suggesting amber oil, complicated…",cat1=0; cat2=2; quakers=0
QC0127,RB0127,84.67,"High-toned, richly sweet-savory. Mango, honey, lemongrass, oak, narcissus in aroma and cup. Balanced, sweetly savory structure with lively acidity; crisp though velvety mouthfeel. The sweetly herb-toned finish is redolent of lemongrass, supported by…",cat1=0; cat2=7; quakers=0
QC0128,RB0128,84.67,"Intensely rich, sweetly savory. Dried raspberry, aged rum, paprika, pipe tobacco, wisteria-like flowers in aroma and cup. Sweet-savory in structure with gentle acidity; full, velvety mouthfeel. The flavor-saturated finish fulfills the promise of the…",cat1=0; cat2=0; quakers=0
QC0129,RB0129,84.67,"Richly sweet, spice-toned. Mango, clove, lime zest, dark chocolate, fragrant pipe tobacco in aroma and cup. Crisply sweet in structure with bright acidity; lightly creamy mouthfeel. The rich-toned finish leads with notes of lime zest and clove in th…",cat1=0; cat2=2; quakers=0
QC0130,RB0130,84.67,"Floral, richly earth-toned. Lilac, black cherry, nutella, moist pipe tobacco, tangerine zest in aroma and cup. Sweet-savory structure with bright acidity; velvety-smooth mouthfeel. The finish is richly fruit- and floral-toned, with amplified notes o…",cat1=0; cat2=1; quakers=0
QC0131,RB0131,84.67,"Intensely sweet-tart, deeply rich. Blackberry jam, toasted coconut, dark chocolate, fine musk, fresh-cut redwood in aroma and cup. Sweetly tart structure with juicy, bright acidity; delicate, satiny mouthfeel. The quiet finish centers on notes of bl…",cat1=0; cat2=0; quakers=0
QC0132,RB0132,84.67,"Lush, high-toned, richly sweet. Apricot, bergamot zest, nougat, sandalwood, honeysuckle in aroma and cup. Deeply sweet in structure, with juicy, bright acidity; plump, syrupy mouthfeel. The finish is seemingly eternal, resonant with all the flavor n…",cat1=0; cat2=3; quakers=0
QC0133,RB0133,84.67,"High-toned, deeply sweet. Black currant, honey, sandalwood, narcissus-like flowers, roasted cacao nib in aroma and cup. Sweet-tart in structure with juicy, bright acidity; full, syrupy-smooth mouthfeel. The resonant finish consolidates to notes of b…",cat1=0; cat2=1; quakers=0
QC0134,RB0134,84.67,"Intensely pungent, richly vibrant, deeply sweet, startlingly original. Complex spice (cinnamon, clove, nutmeg), herb (fresh cilantro, parsley), baker’s chocolate, lime zest, sweetly pungent spirits (Brazilian cachaça?) in aroma and cup. Deeply sweet…",cat1=0; cat2=4; quakers=0
QC0135,RB0135,84.67,"Evaluated as espresso. Layered, complex. Dark chocolate, mango, grapefruit zest, cedar, lily-like flowers in aroma and small cup. Lightly syrupy, lively mouthfeel. Mango, chocolate and a hint of flowers persist in a deeply resonant finish. Crisply l…",cat1=1; cat2=10; quakers=0
QC0136,RB0136,84.67,"Evaluated as espresso. Roundly and sweetly tart/pungent. Baker’s chocolate, almond, cedar, tangerine zest, wisteria-like flowers in aroma and small cup. Syrupy, full mouthfeel. Flavor consolidates in a rather dry though pleasingly chocolate- and ced…",cat1=0; cat2=0; quakers=0
QC0137,RB0137,84.67,"Crisp, richly sweet-savory. Maple syrup, gardenia-like flowers, fresh humus, pomegranate, baker’s chocolate in aroma and cup. Deeply sweet in structure, with savory undertones; delicate, silky mouthfeel. The finish is driven by gardenia-like florals…",cat1=0; cat2=0; quakers=0
QC0138,RB0138,84.67,"Crisp, sweetly tart. Concord grape, baker’s chocolate, cedar, musk, magnolia in aroma and cup. Balanced, sweet-tart in structure with juicy acidity; full, satiny mouthfeel. The resonant finish leads with fruit and floral tones, rounding to baker’s c…",cat1=0; cat2=0; quakers=0
QC0139,RB0139,84.67,"Fruit-forward, spice-toned. Raspberry jam, clove, rum cordial, fresh-cut fir, dried hibiscus in aroma and cup. Sweetly tart structure with brisk acidity; lightly creamy mouthfeel. Clove and raspberry drive the sweet-toned short finish, while notes o…",cat1=0; cat2=4; quakers=0
QC0140,RB0140,84.67,"Delicate, sweetly spice-toned. Peach blossom, hazelnut, pink peppercorn, lime zest, cedar in aroma and cup. Sweet-tart in structure with lively, balanced acidity; plush, syrupy mouthfeel. The finish consolidates to peach blossom and hazelnut in the…",cat1=0; cat2=4; quakers=0
QC0141,RB0141,84.67,"Crisp, sweetly savory. Butterscotch, mesquite, cocoa powder, cooked acorn squash, fine musk in aroma and cup. Sweet-savory in structure with brisk acidity; lightly syrupy mouthfeel. The finish is carried, both short and long, by notes of cocoa and r…",cat1=0; cat2=3; quakers=0
QC0142,RB0142,84.67,"Elegant, bright, very sweetly pungent. Starfruit, frankincense, lime zest, roasted cacao nib, narcissus in aroma and cup. Richly sweet in structure with balanced, vivacious acidity. Delicate, silky mouthfeel. The floral-toned finish starts and ends…",cat1=0; cat2=3; quakers=0
QC0143,RB0143,84.67,"Crisply sweet, balanced. Apricot, freesia-like flowers, baker’s chocolate, clove, almond in aroma and cup. Sweetly tart structure; full, velvety mouthfeel. The finish leads with notes of sweet stone fruit and spicy florals in the short, rounding to…",cat1=0; cat2=3; quakers=0
QC0144,RB0144,84.67,"High-toned, richly sweet-tart. Baker’s chocolate, hibiscus tea, floral vanilla, tangerine zest, brown sugar in aroma and cup. Sweetly bright in structure, with gentle acidity; plush, syrupy mouthfeel. The sweetly tart finish is gently drying, consol…",cat1=0; cat2=3; quakers=0
QC0145,RB0145,84.58,"Fruit-toned, chocolaty. Strawberry, dark chocolate, sandalwood, lavender, a hint of brandy in aroma and cup. Brisk, sweet-tart structure with juicy acidity; delicate, silky mouthfeel. Reminiscent of a chocolate cordial in the sweetly fermenty finish.",cat1=0; cat2=5; quakers=0
QC0146,RB0146,84.58,"Crisp, delicately sweet. Baker’s chocolate, violet-like flowers, papaya, macadamia nut, molasses in aroma and cup. Balanced, bittersweet structure; impressively buoyant, velvety mouthfeel. The resonant, flavor-saturated finish consolidates around no…",cat1=0; cat2=4; quakers=0
QC0147,RB0147,84.58,"Resonant, sweet-savory, original. Baker’s chocolate, fragrant fresh-cut cedar, green grape, almond, wisteria in aroma and cup. Roundly tart, sweetly savory in structure; plushly syrupy mouthfeel. Flavor, particularly green grape and flowers, carries…",cat1=0; cat2=5; quakers=1
QC0148,RB0148,84.58,"Deeply sweet, richly earth-toned. Dark chocolate, candy cap mushroom, gardenia, black cherry, grapefruit zest in aroma and cup. Balanced, sweet-savory-tart structure with vibrant acidity; full, syrupy mouthfeel. The crisp, flavor-saturated finish ce…",cat1=0; cat2=2; quakers=0
QC0149,RB0149,84.58,"Delicately rich, vibrantly sweet-savory. Wisteria, chocolate fudge, mango, candied lime zest, allspice in aroma and cup. Sweetly tart in structure; full, velvety mouthfeel. The long finish consolidates to notes of wisteria and allspice.",cat1=0; cat2=1; quakers=0
QC0150,RB0150,84.58,"Quietly and delicately crisp. Candied walnut, peach, honeysuckle, cedar, ripe banana in aroma and cup. Gently and sweetly brisk in structure; light, very silky in mouthfeel. Walnut, peach and cedar in particular carry into a sweet though drying fini…",cat1=0; cat2=0; quakers=0
QC0151,RB0151,84.58,"High-toned, deeply sweet. Honeysuckle, blackberry, cardamom, tangerine zest, sandalwood in aroma and cup. Sweet-tart structure with vibrant acidity; buoyant, satiny mouthfeel. The flavor-saturated finish leads with rich floral notes and crisply swee…",cat1=0; cat2=0; quakers=0
QC0152,RB0152,84.58,"Evaluated as espresso. Bright, richly sweet-tart. Raspberry jam, hazelnut butter, baker’s chocolate, lilac, a hint of bourbon barrel in aroma and small cup. Lightly creamy mouthfeel; cocoa-toned finish with notes of raspberry jam and hazelnut. Flora…",cat1=0; cat2=5; quakers=0
QC0153,RB0153,84.58,"Delicate, high-toned, richly sweet. Caramelized apple, honeysuckle, baker’s chocolate, tangerine zest, frankincense in aroma and cup. Balanced structure with bright, juicy acidity; buoyant, syrupy mouthfeel. The deeply sweet, flavor-laden finish lea…",cat1=0; cat2=0; quakers=0
QC0154,RB0154,84.58,"Sweetly spice-toned, deeply rich. Bergamot, almond, fresh parsley, gardenia, oak in aroma and cup. Crisply sweet, softly tart in structure; plush, full mouthfeel. The rich, resonant finish carries over all the notes from the cup, a nut-toned bergamo…",cat1=0; cat2=2; quakers=0
QC0155,RB0155,84.58,"Wildly, disconcertingly original. Sweetly tart, simultaneously fruit- and earth-toned, bright yet lush. Fresh clover, earth, fresh-pressed red grape juice, dark chocolate, white peppercorn in aroma and cup. Juicy sweet yet zesty and savory in struct…",cat1=0; cat2=2; quakers=0
QC0156,RB0156,84.58,"Crisply sweet, fruit-toned. Blackberry, baker’s chocolate, freesia, hazelnut, cedar in aroma and cup. Sweet-tart structure with bright acidity; velvety-textured, crisp mouthfeel. The cocoa-toned finish has a berry throughline, enveloped by spicy flo…",cat1=0; cat2=6; quakers=0
QC0157,RB0157,84.58,"Deeply rich, sweetly roast-toned. Dark chocolate, raisin, molasses, cedar, a hint of cinnamon in aroma and cup. Sweet in structure with gentle, rounded acidity. The finish is chocolate through and through, with raisin in the short and aromatic wood…",cat1=0; cat2=2; quakers=0
QC0158,RB0158,84.58,"Richly sweet-savory, roast-cradled. Toasted coconut, black currant, tamari-roasted almond, myrrh, lavender in aroma and cup. Sweetly savory in structure with balanced, juicy acidity; buoyant, syrupy mouthfeel. The richly drying finish consolidates t…",cat1=0; cat2=1; quakers=0
QC0159,RB0159,84.5,"Rich-toned, subtly complex. Pineapple, sandalwood, jasmine, honey, cocoa in aroma and cup. Deeply sweet in structure with juicy acidity; plush, syrupy mouthfeel. The resonant finish leads with cocoa-toned pineapple in the short, rounding to jasmine…",cat1=0; cat2=2; quakers=0
QC0160,RB0160,84.5,"Multi-layered, intricate. Raspberry, chocolate fudge, lavender, vanilla, rum cordial in aroma and cup. Sweetly tart in structure with fruit-toned acidity; lightly syrupy mouthfeel. The finish is crisp and richly drying, with notes of chocolate and l…",cat1=0; cat2=1; quakers=0
QC0161,RB0161,84.5,"Deeply sweet, richly savory. Lemongrass, graham cracker, sassafras, roasted cacao nib, jasmine in aroma and cup. Sweet-savory structure, with round acidity; satiny-smooth mouthfeel. The short finish is resonant with notes of lemongrass and jasmine,…",cat1=0; cat2=1; quakers=0
QC0162,RB0162,84.5,"Crisp, balanced, richly sweet. Maple syrup, apricot, hop flowers, nougat, roasted cacao nib in aroma and cup. Sweet-savory structure with lively acidity; full, satiny mouthfeel. Notes of maple syrup and apricot pleasantly dominate the finish, with e…",cat1=0; cat2=0; quakers=0
QC0163,RB0163,84.5,"Richly savory, deeply sweet. Ginger blossom, almond brittle, pear, fresh, moist forest notes, wildflower honey in aroma and cup. Structured balance among sweet, tart and savory tastes; crisp, velvety mouthfeel. The honey-toned finish leads with ging…",cat1=1; cat2=0; quakers=0
QC0164,RB0164,84.5,"Delicate, complex, chocolate-toned. Dried mulberry, dark chocolate, fine musk, pipe tobacco, pink peppercorn in aroma and cup. Sweetly savory structure with juicy acidity; plump, smooth mouthfeel. The finish, which consolidates to notes of dark choc…",cat1=0; cat2=2; quakers=0
QC0165,RB0165,84.5,"Evaluated as espresso. Richly sweet, chocolate-toned. Chocolate fudge, magnolia, almond brittle, tangerine zest, cedar in aroma and small cup. Crisp, satiny mouthfeel; wood-framed, floral-toned finish. In three parts milk, notes of chocolate fudge r…",cat1=0; cat2=2; quakers=0
QC0166,RB0166,84.5,"Evaluated as espresso. Rich, fruit-toned, balanced. Baker’s chocolate, pomegranate, gardenia, grapefruit zest, fresh-cut fir in aroma and small cup. Lean, smooth mouthfeel; gently drying, cocoa-toned finish, with hints of grapefruit zest. In cappucc…",cat1=0; cat2=0; quakers=0
QC0167,RB0167,84.5,"Sweet-toned, with attractive savory undercurrents. Tangerine zest, magnolia, tamari, black cherry, roasted cacao nib in aroma and cup. Sweetly savory structure with lightly juicy acidity; full, syrupy mouthfeel. The finish is characterized by cocoa-…",cat1=0; cat2=0; quakers=0
QC0168,RB0168,84.5,"Evaluated as espresso. Intensely pungent, richly sweet. Dark chocolate, black cherry, almond, myrrh, star jasmine in aroma and small cup. Buoyant, silky mouthfeel; long, lingering finish characterized by dark chocolate and stone fruit. In three part…",cat1=0; cat2=4; quakers=0
QC0169,RB0169,84.5,"Evaluated as espresso. Richly sweet, brightly tart. Dark chocolate, lily-like flowers, blood orange zest, peach, cedar in aroma and small cup. Punchy, syrupy mouthfeel; crisp, cocoa-toned finish with lasting notes of citrus zest. In three-parts milk…",cat1=0; cat2=2; quakers=0
QC0170,RB0170,84.5,"Sweetly roast-rounded, cocoa-toned. Baker's chocolate, black currant, rose hip, singed cedar, almond brittle in aroma and cup. Crisply sweet-tart structure; delicate, syrupy mouthfeel. The richly drying finish centers around tart floral notes and ba…",cat1=0; cat2=4; quakers=0
QC0171,RB0171,84.5,"Delicate, quietly sweet-toned. Roasted cacao nib, red grape, fresh-cut fir, lemon zest, gardenia-like flowers in aroma and cup. Gentle, rounded structure; crisp, satiny mouthfeel. The finish consolidates to notes of lemon zest and gardenia with a hi…",cat1=2; cat2=0; quakers=0
QC0172,RB0172,84.42,"Nuanced, multi-layered, richly sweet. Lavender, roasted cacao nib, salted caramel, sweet aromatic mushroom, a moist foresty hint in aroma and cup. Deeply sweet-savory in structure with bright, juicy acidity; plush, velvety mouthfeel. The finish is r…",cat1=0; cat2=3; quakers=0
QC0173,RB0173,84.42,"Deeply sweet, spice-toned. Vanilla, white peppercorn, date, moist pipe tobacco, almond in aroma and cup. Sweet-toned in structure with gentle acidity; crisp, satiny mouthfeel. The gently drying finish consolidates to notes of almond and white pepper…",cat1=0; cat2=3; quakers=0
QC0174,RB0174,84.42,"High-toned, crisply sweet. Maple syrup, orange zest, honeysuckle-like flowers, cedar, almond butter in aroma and cup. Sweetly and roundly tart structure; full, satiny mouthfeel. The richly drying finish is redolent of honeysuckle and orange zest in…",cat1=0; cat2=1; quakers=0
QC0175,RB0175,84.42,"Richly sweet-savory, spice-toned. Black currant, roasted cacao nib, freesia-like flowers, almond, molasses in aroma and cup. Sweet-savory in structure with crisply bright acidity; velvety mouthfeel. The quietly nuanced finish centers around black cu…",cat1=0; cat2=3; quakers=0
QC0176,RB0176,84.42,"Briskly sweet-tart, fruit-forward. Dark chocolate, maraschino cherry, pipe tobacco, caramel, almond in aroma and cup. Bittersweet instructure with gentle, rounded acidity; full, syrupy mouthfeel. The drying, cocoa-toned finish leads with dark chocol…",cat1=0; cat2=0; quakers=0
QC0177,RB0177,84.42,"Richly sweet, spice-toned. Ripe banana, roasted cacao nib, elm, freesia-like flowers, roasted cashew in aroma and cup. Roundly sweet-tart structure; lightly velvety mouthfeel. The crisp, richly drying finish consolidates around notes of cashew, caca…",cat1=0; cat2=1; quakers=0
QC0178,RB0178,84.42,"Delicate, chocolate-toned. Dark chocolate, hazelnut, raisin, hints of lily and oak in aroma and cup. Balanced, sweet-toned structure; satiny-smooth mouthfeel. The long finish is quietly flavor-saturated.",cat1=2; cat2=4; quakers=0
QC0179,RB0179,84.42,"Delicate, sweet-toned, softly bright and balanced. Caramel, vanilla bean, cedar, almond, candied lemon zest in aroma and cup. Gently brisk in structure, light in mouthfeel. Sweet citrus framed by aromatic cedar carry into a short but pleasing finish.",cat1=0; cat2=2; quakers=0
QC0180,RB0180,84.33,"Deeply and sweetly pungent, juicy. Black currant, orange zest, cocoa, lavender, oak in aroma and cup. Sweetly and gently tart in structure, gently savory-edged. Light but silky, lively mouthfeel. Quietly rich finish: orange zest and lavender.",cat1=0; cat2=4; quakers=0
QC0181,RB0181,84.33,"Round, balanced, with a quiet but deeply layered complexity. Blackberry, cocoa, pear, lavender, roasted macadamia in aroma and cup. Sweetly and roundly bright in structure; plush and lightly syrupy in mouthfeel. A richly resonant finish consolidates…",cat1=0; cat2=3; quakers=0
QC0182,RB0182,84.33,"Delicate, sweetly bright and gently lemony. Ripe lemon zest, fresh-cut cedar, carnation, roasted cashew, cocoa in aroma and cup. Roundly and lightly sweet-tart in structure; satiny in mouthfeel. Quietly resonant in the finish: flowers and cedar.",cat1=0; cat2=5; quakers=3
QC0183,RB0183,84.33,"Crisply sweet, delicate yet opulent. Cocoa powder, lilac-like flowers, roasted cashew, blueberry, sandalwood in aroma and cup. Sweetly and gently tart in structure; vibrant. In mouthfeel soft, lightly plush. Lilac and cocoa in particular carry into…",cat1=0; cat2=2; quakers=1
QC0184,RB0184,84.33,"Evaluated as espresso. Intricate, layered, richly sweet. Narcissus, dark chocolate, singed cedar, black truffle, ripe papaya in aroma and small cup. Lively, syrupy body. Floral, sweet-savory finish, with notes of dark chocolate throughout, supported…",cat1=0; cat2=4; quakers=2
QC0185,RB0185,84.33,"Delicately sweet, richly savory. Red currant, butterscotch, fresh-cut cedar, tamarind, lantana-like floral notes in aroma and cup. Bright, sweet-tart structure with lively acidity; syrupy-smooth mouthfeel. The short finish is flavor-saturated, conso…",cat1=6; cat2=0; quakers=0
QC0186,RB0186,84.33,"Rich-toned, fruit-forward. Strawberry, baker’s chocolate, honeysuckle-like flowers, almond, frankincense in aroma and cup. Bittersweet structure with brisk acidity; plush, syrupy mouthfeel. The short finish is centered around berry and floral notes,…",cat1=0; cat2=0; quakers=0
QC0187,RB0187,84.33,"Sweetly earth-toned, spice-forward. Aromatic orchid, moist fresh-fallen leaves, cashew, cinnamon. Bing cherry in aroma and cup. Sweet-tart-structure with crisp acidity; plush, full mouthfeel. The finish is resonant and richly drying, with leading no…",cat1=0; cat2=1; quakers=0
QC0188,RB0188,84.33,"Evaluated as espresso. Floral-toned, deeply sweet. Lilac, toffee, black cherry, cedar, orange zest in aroma and small cup. Crisp, satiny mouthfeel; gently drying finish carried by notes of toffee and lilac in the short, orange zest and cedar in the…",cat1=0; cat2=4; quakers=0
QC0189,RB0189,84.33,"Deeply rich, sweet-savory. Rhododendron, mango, almond brittle, thyme, oak in aroma and cup. Sweet-toned, savory structure; full, satiny mouthfeel. The gently drying finish consolidates to notes of oak and almond, with a hint of sweet herb suggestin…",cat1=0; cat2=2; quakers=0
QC0190,RB0190,84.33,"High-toned, spice-forward, richly sweet. Nougat, lavender, dried apricot, cedar, a hint of cumin in aroma and cup. Balanced, sweetly tart structure with vibrant, juicy acidity; crisp, satiny mouthfeel. The finish is sweet though rather short, with g…",cat1=0; cat2=1; quakers=0
QC0191,RB0191,84.33,"Crisply sweet-toned. Caramel, fig, oak, narcissus-like flowers, almond in aroma and cup. Balanced, sweet structure with brisk acidity; full, syrupy mouthfeel. The short finish resonates with sweet floral and rich fruit notes, while the long consolid…",cat1=1; cat2=1; quakers=0
QC0192,RB0192,84.25,"Brightly sweet with a savory depth. Lemon verbena, roasted cacao nib, rhododendron, date, cedar in aroma and cup. Quietly sweet-tart structure; delicate, silky mouthfeel. The finish is richly drying, consolidating around cacao nib and lemon verbena.",cat1=0; cat2=0; quakers=0
QC0193,RB0193,84.25,"Balanced, sweetly savory. Lime zest, toffee, fresh-cut fir, cashew, lilac-like flowers in aroma and cup. Quietly sweet-tart structure; full, velvety mouthfeel. Lime zest and toffee carry the finish.",cat1=0; cat2=0; quakers=0
QC0194,RB0194,84.25,"Crisply sweet, spice-toned. Brown sugar, baked apple, lemon zest, cayenne, fresh-cut pine in aroma and cup. Bittersweet structure; delicate, satiny mouthfeel. The richly drying finish is characterized by notes of baked apple in the short and bitters…",cat1=0; cat2=2; quakers=0
QC0195,RB0195,84.25,"Richly sweet, crisply tart. Butterscotch, lemon zest, peach, honey, fresh-cut cedar in aroma and cup. Balanced, delicately sweet-tart structure with vibrant acidity; crisp, satiny mouthfeel. The flavor-saturated finish consolidates to notes of butte…",cat1=0; cat2=4; quakers=4
QC0196,RB0196,84.25,"Fruit-toned, vibrantly sweet. Dark chocolate, raspberry, agave syrup, oak wine barrel, freesia-like flowers in aroma and cup. Richly sweet-toned in structure, with lively acidity. Crisp, velvety mouthfeel. The resonant finish consolidates to notes o…",cat1=0; cat2=1; quakers=0
QC0197,RB0197,84.25,"Richly sweet, spice-toned. Baker’s chocolate, cinnamon, banana, cashew, citrusy lantana flowers in aroma and cup. Bittersweet in structure, with juicy acidity; velvety-smooth mouthfeel. Notes of baker’s chocolate and banana are sweetly resonant in t…",cat1=0; cat2=1; quakers=0
